creditscore,age,tenure,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,france,germany,spain,female,male,tenure_age,age_tenure_product
668.0,33.0,3.0,2,1,0,181449.97,0,1,0,0,0,1,0.0909090909090909,99.0
627.0,33.0,1.0,2,1,1,49503.5,0,1,0,0,0,1,0.0303030303030303,33.0
678.0,40.0,10.0,2,1,0,184866.69,0,1,0,0,0,1,0.25,400.0
581.0,34.0,2.0,1,1,1,84560.88,0,1,0,0,0,1,0.0588235294117647,68.0
716.0,33.0,5.0,2,1,1,15068.83,0,0,0,1,0,1,0.1515151515151515,165.0
588.0,36.0,4.0,1,1,0,136024.31,1,0,1,0,0,1,0.1111111111111111,144.0
593.0,30.0,8.0,1,1,0,29792.11,0,1,0,0,1,0,0.2666666666666666,240.0
678.0,37.0,1.0,1,1,0,106851.6,0,0,0,1,0,1,0.027027027027027,37.0
676.0,43.0,4.0,2,1,0,142917.13,0,1,0,0,0,1,0.0930232558139534,172.0
583.0,40.0,4.0,1,1,1,170843.07,0,0,1,0,0,1,0.1,160.0
599.0,27.0,6.0,2,1,0,109184.24,0,0,1,0,1,0,0.2222222222222222,162.0
687.0,40.0,3.0,1,1,0,1676.92,0,0,1,0,0,1,0.075,120.0
681.0,47.0,5.0,1,1,1,72945.68,0,1,0,0,0,1,0.1063829787234042,235.0
703.0,33.0,7.0,1,1,1,79997.14,0,1,0,0,1,0,0.2121212121212121,231.0
549.0,25.0,5.0,2,1,0,162260.93,0,1,0,0,1,0,0.2,125.0
602.0,36.0,7.0,2,0,1,135082.47,0,1,0,0,0,1,0.1944444444444444,252.0
636.0,36.0,4.0,2,1,0,111573.3,0,1,0,0,0,1,0.1111111111111111,144.0
645.0,55.0,8.0,1,1,0,125083.29,1,0,1,0,1,0,0.1454545454545454,440.0
773.0,35.0,9.0,2,0,1,87549.36,0,0,0,1,0,1,0.2571428571428571,315.0
554.0,41.0,8.0,2,1,0,113926.31,0,1,0,0,0,1,0.1951219512195122,328.0
553.0,43.0,9.0,1,1,0,160574.09,0,0,1,0,1,0,0.2093023255813953,387.0
554.0,44.0,9.0,1,1,0,79577.68,1,0,1,0,0,1,0.2045454545454545,396.0
714.0,26.0,6.0,2,1,1,50016.17,0,1,0,0,0,1,0.2307692307692307,156.0
703.0,39.0,9.0,1,1,0,131363.57,1,0,0,1,0,1,0.2307692307692307,351.0
616.0,31.0,3.0,2,0,1,59346.4,0,0,0,1,0,1,0.0967741935483871,93.0
785.0,41.0,4.0,1,1,0,170968.99,1,0,0,1,0,1,0.0975609756097561,164.0
834.0,49.0,6.0,2,1,0,81999.53,0,1,0,0,0,1,0.1224489795918367,294.0
632.0,32.0,5.0,2,1,1,105817.87,0,1,0,0,0,1,0.15625,160.0
746.0,33.0,7.0,2,1,1,178067.33,0,1,0,0,0,1,0.2121212121212121,231.0
753.0,36.0,9.0,1,1,0,44567.83,0,1,0,0,1,0,0.25,324.0
749.0,50.0,5.0,1,1,0,125939.18,1,0,1,0,0,1,0.1,250.0
752.0,37.0,6.0,2,0,0,1187.88,0,1,0,0,0,1,0.1621621621621621,222.0
551.0,31.0,9.0,2,0,1,91565.25,1,0,1,0,0,1,0.2903225806451613,279.0
714.0,52.0,8.0,2,1,1,147815.19,0,1,0,0,0,1,0.1538461538461538,416.0
683.0,30.0,4.0,1,0,0,183171.47,0,1,0,0,0,1,0.1333333333333333,120.0
684.0,31.0,3.0,3,1,0,146650.6,1,0,1,0,1,0,0.0967741935483871,93.0
696.0,27.0,5.0,2,0,0,181499.77,0,1,0,0,1,0,0.1851851851851851,135.0
773.0,36.0,8.0,2,1,1,35817.97,0,1,0,0,0,1,0.2222222222222222,288.0
591.0,35.0,10.0,1,1,0,195692.3,0,0,1,0,1,0,0.2857142857142857,350.0
488.0,34.0,5.0,2,0,1,172638.13,0,0,1,0,0,1,0.1470588235294117,170.0
685.0,31.0,10.0,2,1,1,180769.55,0,0,0,1,0,1,0.3225806451612903,310.0
579.0,39.0,6.0,2,1,1,149913.08,0,1,0,0,0,1,0.1538461538461538,234.0
607.0,26.0,1.0,2,1,0,29818.2,0,1,0,0,0,1,0.0384615384615384,26.0
742.0,29.0,8.0,1,1,1,132468.76,0,1,0,0,1,0,0.2758620689655172,232.0
611.0,25.0,7.0,1,0,1,24677.54,0,1,0,0,0,1,0.28,175.0
677.0,31.0,3.0,2,1,1,182633.63,0,1,0,0,1,0,0.0967741935483871,93.0
461.0,40.0,6.0,1,1,0,172450.19,1,1,0,0,1,0,0.15,240.0
753.0,37.0,8.0,1,1,1,168816.35,0,0,0,1,0,1,0.2162162162162162,296.0
634.0,47.0,1.0,1,1,0,73883.56,1,1,0,0,1,0,0.0212765957446808,47.0
647.0,34.0,9.0,1,1,0,177747.72,0,0,0,1,0,1,0.2647058823529412,306.0
577.0,36.0,3.0,1,1,1,171344.02,0,1,0,0,0,1,0.0833333333333333,108.0
809.0,31.0,5.0,2,1,0,122782.5,0,1,0,0,0,1,0.1612903225806451,155.0
686.0,45.0,4.0,1,1,0,155023.93,1,1,0,0,1,0,0.0888888888888888,180.0
633.0,29.0,6.0,2,1,0,93874.67,0,1,0,0,1,0,0.2068965517241379,174.0
494.0,36.0,6.0,1,1,1,95583.52,0,1,0,0,1,0,0.1666666666666666,216.0
699.0,31.0,7.0,2,1,0,171922.92,0,1,0,0,0,1,0.2258064516129032,217.0
668.0,38.0,4.0,2,1,1,93713.83,0,0,1,0,0,1,0.1052631578947368,152.0
703.0,37.0,1.0,2,1,1,166850.97,0,1,0,0,0,1,0.027027027027027,37.0
663.0,54.0,6.0,1,1,1,170950.58,1,1,0,0,1,0,0.1111111111111111,324.0
756.0,41.0,3.0,2,1,1,47093.11,0,0,1,0,0,1,0.073170731707317,123.0
599.0,35.0,8.0,2,1,1,59816.41,0,0,0,1,0,1,0.2285714285714285,280.0
678.0,43.0,8.0,1,0,0,120853.51,1,0,1,0,1,0,0.1860465116279069,344.0
563.0,43.0,7.0,1,1,0,139435.54,0,1,0,0,0,1,0.1627906976744186,301.0
682.0,34.0,5.0,1,1,0,153870.58,1,0,1,0,1,0,0.1470588235294117,170.0
620.0,46.0,8.0,1,1,1,45414.09,0,1,0,0,0,1,0.1739130434782608,368.0
721.0,30.0,9.0,2,1,1,177747.05,0,0,0,1,0,1,0.3,270.0
535.0,34.0,3.0,2,1,1,121525.48,0,1,0,0,0,1,0.088235294117647,102.0
584.0,26.0,1.0,2,0,0,82712.53,0,0,1,0,0,1,0.0384615384615384,26.0
701.0,35.0,2.0,2,0,0,170996.86,0,0,0,1,1,0,0.0571428571428571,70.0
577.0,42.0,2.0,1,1,1,85412.28,0,1,0,0,0,1,0.0476190476190476,84.0
663.0,34.0,1.0,1,1,1,158071.69,0,0,1,0,1,0,0.0294117647058823,34.0
640.0,50.0,1.0,2,0,1,13906.34,0,0,0,1,0,1,0.02,50.0
711.0,36.0,1.0,1,1,0,44965.44,0,0,0,1,0,1,0.0277777777777777,36.0
707.0,38.0,5.0,1,0,1,52404.47,1,0,1,0,1,0,0.131578947368421,190.0
631.0,31.0,1.0,1,1,1,74532.02,0,1,0,0,0,1,0.032258064516129,31.0
622.0,29.0,9.0,2,1,1,155786.39,0,1,0,0,0,1,0.3103448275862069,261.0
494.0,30.0,3.0,1,1,0,27886.06,0,1,0,0,0,1,0.1,90.0
775.0,20.0,6.0,1,1,1,120801.65,0,1,0,0,1,0,0.3,120.0
817.0,31.0,7.0,1,1,1,182372.35,0,1,0,0,1,0,0.2258064516129032,217.0
703.0,38.0,10.0,2,1,1,170886.87,0,1,0,0,0,1,0.2631578947368421,380.0
592.0,32.0,7.0,2,1,1,140941.47,0,0,0,1,0,1,0.21875,224.0
743.0,37.0,2.0,1,1,0,183566.87,1,0,1,0,0,1,0.054054054054054,74.0
726.0,26.0,5.0,2,1,0,52449.97,1,1,0,0,1,0,0.1923076923076923,130.0
431.0,37.0,4.0,2,1,1,171344.06,0,1,0,0,0,1,0.1081081081081081,148.0
571.0,50.0,4.0,1,1,0,145567.36,1,1,0,0,1,0,0.08,200.0
588.0,30.0,10.0,1,1,1,131636.55,0,0,1,0,0,1,0.3333333333333333,300.0
